	↑ Click "File" > "Download As" to download				Getting started with Japanese Counters:		https://www.tofugu.com/japanese/japanese-counters-guide/										
画素	がそ	Pixels	Semi Common	Formal	いちがそ	にがそ	さんがそ	よんがそ	ごがそ	ろくがそ	なながそ (しちがそ)	はちがそ	きゅうがそ	じゅうがそ	なんがそ		
方	かた	People (formal)	Semi Common	Formal	ひとかた	ふたかた	さんかた	よんかた	ごかた	ろっかた	ななかた	はっかた (はちかた)	きゅうかた	じゅっかた (じっかた)	なんかた		
株	かぶ	Plants with roots, tree stumps, clusters of mushrooms, seedlings, stocks	Semi Common	Formal	ひとかぶ	ふたかぶ	さんかぶ	よんかぶ	ごかぶ	ろっかぶ (ろくかぶ)	ななかぶ (しちかぶ)	はっかぶ (はちかぶ)	きゅうかぶ	じゅっかぶ (じっかぶ)	なんかぶ		
冠	かん	Wins, victories, championships, crowns	Semi Common	Formal	いっかん	にかん	さんかん	よんかん	ごかん	ろっかん	しちかん (ななかん)	はっかん (はちかん)	きゅうかん	じゅっかん (じっかん)	なんかん		
貫	かん	Sushi pieces, nigiri pieces	Semi Common	Formal	いっかん	にかん	さんかん	よんかん	ごかん	ろっかん	ななかん (しちかん)	はっかん (はちかん)	きゅうかん	じゅっかん (じっかん)	なんかん		
館	かん	Art galleries, art and other museums, libraries, aquariums, photo studios	Semi Common	Formal	いっかん	にかん	さんかん	よんかん	ごかん	ろっかん	ななかん (しちかん)	はっかん (はちかん)	きゅうかん	じゅっかん (じっかん)	なんかん		
基	き	Installed things that are big and/or hard to move by hand	Semi Common	Formal	いっき	にき	さんき	よんき	ごき	ろっき	ななき (しちき)	はっき (はちき)	きゅうき	じゅっき (じっき)	なんき		
機	き	Airplanes, airships, jets, blimps, hot air balloons, helicopters, guided missiles	Semi Common	Formal	いっき	にき	さんき	よんき	ごき	ろっき (ろくき)	ななき (しちき)	はっき (はちき)	きゅうき	じゅっき (じっき)	なんき		
期	き	Terms, time periods	Semi Common	Formal	いっき	にき	さんき	よんき	ごき	ろっき	ななき (しちき)	はっき (はちき)	きゅうき	じゅっき (じっき)	なんき		
客	きゃく	Items brought out for special guests	Semi Common	Formal	いっきゃく	にきゃく	さんきゃく	よんきゃく	ごきゃく	ろっきゃく	ななきゃく (しちきゃく)	はっきゃく (はちきゃく)	きゅうきゃく	じゅっきゃく (じっきゃく)	なんきゃく		
脚	きゃく	Chairs, tables, desks	Semi Common	Formal	いっきゃく	にきゃく	さんきゃく	よんきゃく	ごきゃく	ろっきゃく	ななきゃく (しちきゃく)	はっきゃく (はちきゃく)	きゅうきゃく	じゅっきゃく (じっきゃく)	なんきゃく		
級	きゅう	Dan and other grades, stone steps	Semi Common	Formal	いっきゅう	にきゅう	さんきゅう	よんきゅう	ごきゅう	ろっきゅう	ななきゅう (しちきゅう)	はっきゅう (はちきゅう)	きゅうきゅう	じゅっきゅう (じっきゅう)	なんきゅう		
球	きゅう	Baseball pitches, bulbs	Semi Common	Formal	いっきゅう	にきゅう	さんきゅう	よんきゅう	ごきゅう	ろっきゅう (ろくきゅう)	ななきゅう (しちきゅう)	はっきゅう (はちきゅう)	きゅうきゅう	じゅっきゅう (じっきゅう)	なんきゅう		
行	ぎょう	Lines in text	Semi Common	Formal	いちぎょう	にぎょう	さんぎょう	よんぎょう	ごぎょう	ろくぎょう	ななぎょう (しちぎょう)	はちぎょう	きゅうぎょう	じゅうぎょう	なんぎょう		
局	きょく	Shogi, go, and sugoroku matches, broadcasting stations, post offices	Semi Common	Formal	いっきょく	にきょく	さんきょく	よんきょく	ごきょく	ろっきょく (ろくきょく)	ななきょく (しちきょく)	はっきょく (はちきょく)	きゅうきょく	じゅっきょく (じっきょく)	なんきょく		
斤	きん	Loaves of regular bread	Semi Common	Daily	いっきん	にきん	さんきん	よんきん	ごきん	ろっきん	ななきん (しちきん)	はっきん (はちきん)	きゅうきん	じゅっきん (じっきん)	なんきん		
金	きん	Carats of gold	Semi Common	Formal	いっきん	にきん	さんきん	よんきん	ごきん	ろっきん	ななきん (しちきん)	はっきん (はちきん)	きゅうきん	じゅっきん (じっきん)	なんきん		
句	く	Haiku, expressions, passages of writing, words, phrases	Semi Common	Formal	いっく	にく	さんく	よんく	ごく	ろっく	ななく (しちく)	はっく (はちく)	きゅうく	じゅっく (じっく)	なんく		
区	く	Plots of land, wards, zones, constituencies, legs of a marathon	Semi Common	Formal	いっく	にく	さんく	よんく	ごく	ろっく	ななく (しちく)	はっく (はちく)	きゅうく	じゅっく (じっく)	なんく		
区画	くかく	Plots of land, divisions of land, a block	Semi Common	Formal	いっくかく	にくかく	さんくかく	よんくかく	ごくかく	ろっくかく	ななくかく (しちくかく)	はっくかく (はちくかく)	きゅうくかく	じゅっくかく (じっくかく)	なんくかく		
串	くし	Any kind of skewered food (meat, vegetables etc.)	Semi Common	Daily	ひとくし	ふたくし	さんくし (みくし)	よんくし	ごくし	ろっくし	ななくし	はっくし (はちくし)	きゅうくし	じゅっくし (じっくし)	なんくし		
癖	くせ	Habits, peculiarities, one's ways	Semi Common	Daily	ひとくせ	ふたくせ	さんくせ みくせ	よんくせ	ごくせ	ろっくせ	ななくせ	はっくせ (はちくせ)	きゅうくせ	じゅっくせ (じっくせ)	なんくせ		
